countryname,ccode,iso3c,year,troops
Guam,1008,GUM,2021,6273
Hong Kong,1009,HKG,2021,14
Montenegro,1010,MNE,2021,10
Northern Mariana Islands,1011,MNP,2021,22
Taiwan,1012,TWN,2021,39
U.S. Virgin Islands,1013,VIR,2021,12
Wake Island,1014,NA,2021,3
Netherlands Antilles,1016,NA,2021,0
South Sudan,1020,SSD,2021,17
Akrotiri,1021,NA,2021,1
UNKNOWN,1099,NA,2021,10897
